Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Cadence,Max Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg Cadence,Max Cadence,Normalized Power® (NP®),L/R Balance,Training Stress Score®,Max Avg Power (20 min),Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate,Max Depth,Bottom Time,Min Water Temp,Gas Type,Surface Interval,Weight,Current,Surface Conditions,Decompression,Water Type
running,2017-10-01 10:47:28,false,"Seattle Running","21.30","1,550","1:48:27","--","--","0.0","--","--","5:05","0:26","72","74","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-09-25 08:35:57,false,"Seattle Running","7.31","537","39:06","--","--","0.0","--","--","5:21","2:07","11","60","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-09-19 08:34:28,false,"Seattle Running","7.32","535","38:26","--","--","0.0","--","--","5:15","1:31","17","62","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-09-14 08:40:35,false,"Seattle Running","7.30","538","38:22","--","--","0.0","--","--","5:15","1:05","14","62","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-09-11 08:37:10,false,"Seattle Running","7.25","538","40:01","--","--","0.0","--","--","5:31","1:00","22","68","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-08-29 08:38:06,false,"Seattle Running","7.12","530","37:51","--","--","0.0","--","--","5:19","0:48","9","61","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-08-27 11:50:46,false,"Seattle Running","10.02","737","50:58","--","--","0.0","--","--","5:05","2:40","35","33","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-08-19 11:37:01,false,"Enumclaw Running","12.86","929","1:32:05","--","--","0.0","--","--","7:10","3:36","264","981","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-08-19 03:29:49,false,"Enumclaw Running","4.46","322","28:46","--","--","0.0","--","--","6:27","1:17","177","180","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-08-18 18:54:21,false,"Enumclaw Running","7.11","466","1:06:06","--","--","0.0","--","--","9:18","1:23","717","14","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-08-12 11:30:05,false,"Seattle Running","16.24","1,191","1:23:35","--","--","0.0","--","--","5:09","4:24","48","48","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-07-30 12:27:26,false,"Seattle Running","6.12","451","30:49","--","--","0.0","--","--","5:02","3:38","15","33","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-07-30 11:10:25,false,"Seattle Running","15.18","1,122","1:14:03","--","--","0.0","--","--","4:53","3:53","50","37","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-07-28 08:44:03,false,"Seattle Running","6.43","475","31:12","--","--","0.0","--","--","4:51","3:38","13","23","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-07-27 08:38:48,false,"Seattle Running","6.55","486","31:09","--","--","0.0","--","--","4:45","3:05","24","30","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-07-26 08:29:41,false,"Seattle Running","6.49","481","4:03:25","--","--","0.0","--","--","37:32","3:29","14","22","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-07-22 17:40:19,false,"Seattle Running","21.14","1,555","1:45:14","--","--","0.0","--","--","4:59","1:14","67","66","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-07-21 08:58:09,false,"Seattle Running","7.02","515","34:18","--","--","0.0","--","--","4:53","2:57","18","58","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-07-19 08:06:07,false,"Seattle Running","6.28","464","29:39","--","--","0.0","--","--","4:43","1:29","11","20","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-07-17 08:39:10,false,"Seattle Running","6.26","470","30:30","--","--","0.0","--","--","4:52","0:31","16","20","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-07-15 09:26:00,false,"Issaquah Running","5.48","390","37:18","--","--","0.0","--","--","6:48","2:55","42","553","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-07-15 08:22:39,false,"Issaquah Running","5.49","384","49:33","--","--","0.0","--","--","9:02","2:29","572","56","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-07-12 08:42:38,false,"Seattle Running","6.30","467","29:23","--","--","0.0","--","--","4:40","2:33","17","30","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-07-11 08:40:32,false,"Seattle Running","6.27","457","28:19","--","--","0.0","--","--","4:31","3:33","4","20","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-07-10 08:43:11,false,"Seattle Running","6.51","487","31:47","--","--","0.0","--","--","4:53","2:54","8","28","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-07-09 15:35:42,false,"Seattle Running","7.79","571","35:19","--","--","0.0","--","--","4:32","3:11","24","24","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-07-07 08:43:02,false,"Seattle Running","6.22","464","29:47","--","--","0.0","--","--","4:47","3:04","10","19","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-07-06 08:41:06,false,"Seattle Running","6.14","451","27:09","--","--","0.0","--","--","4:25","0:26","8","27","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-07-04 21:12:29,false,"Seattle Running","11.21","830","55:35","--","--","0.0","--","--","4:58","4:17","67","24","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-07-03 11:34:58,false,"Seattle Running","21.21","1,574","1:40:28","--","--","0.0","--","--","4:44","3:20","73","72","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-06-30 08:33:26,false,"Seattle Running","6.93","514","33:10","--","--","0.0","--","--","4:47","1:02","5","62","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-06-29 19:39:57,false,"Seattle Running","2.30","168","12:01","--","--","0.0","--","--","5:14","3:07","41","--","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-06-22 08:44:13,false,"Seattle Running","6.25","464","31:32","--","--","0.0","--","--","5:03","3:26","23","30","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-06-21 08:45:19,false,"Seattle Running","7.24","535","38:37","--","--","0.0","--","--","5:20","0:49","5","56","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-06-20 08:00:45,false,"Seattle Running","7.20","530","39:10","--","--","0.0","--","--","5:26","1:39","11","63","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-06-18 06:46:23,false,"Seattle Running","42.67","3,093","3:43:59","--","--","0.0","--","--","5:15","0:54","199","215","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-06-11 11:15:54,false,"Seattle Running","10.01","738","47:09","--","--","0.0","--","--","4:43","3:48","39","36","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
